Stack                                    Input                                    Action                                  
0                                        ( id + id + id * id * id + id * id * id * id + id + id + id ) $  Shift 4                                 
0(4                                      id + id + id * id * id + id * id * id * id + id + id + id ) $  Shift 5                                 
0(4id5                                   + id + id * id * id + id * id * id * id + id + id + id ) $  Reduce 6                                
0(4F3                                    + id + id * id * id + id * id * id * id + id + id + id ) $  Reduce 4                                
0(4T2                                    + id + id * id * id + id * id * id * id + id + id + id ) $  Reduce 2                                
0(4E8                                    + id + id * id * id + id * id * id * id + id + id + id ) $  Shift 6                                 
0(4E8+6                                  id + id * id * id + id * id * id * id + id + id + id ) $  Shift 5                                 
0(4E8+6id5                               + id * id * id + id * id * id * id + id + id + id ) $  Reduce 6                                
0(4E8+6F3                                + id * id * id + id * id * id * id + id + id + id ) $  Reduce 4                                
0(4E8+6T9                                + id * id * id + id * id * id * id + id + id + id ) $  Reduce 1                                
0(4E8                                    + id * id * id + id * id * id * id + id + id + id ) $  Shift 6                                 
0(4E8+6                                  id * id * id + id * id * id * id + id + id + id ) $  Shift 5                                 
0(4E8+6id5                               * id * id + id * id * id * id + id + id + id ) $  Reduce 6                                
0(4E8+6F3                                * id * id + id * id * id * id + id + id + id ) $  Reduce 4                                
0(4E8+6T9                                * id * id + id * id * id * id + id + id + id ) $  Shift 7                                 
0(4E8+6T9*7                              id * id + id * id * id * id + id + id + id ) $  Shift 5                                 
0(4E8+6T9*7id5                           * id + id * id * id * id + id + id + id ) $  Reduce 6                                
0(4E8+6T9*7F10                           * id + id * id * id * id + id + id + id ) $  Reduce 3                                
0(4E8+6T9                                * id + id * id * id * id + id + id + id ) $  Shift 7                                 
0(4E8+6T9*7                              id + id * id * id * id + id + id + id ) $  Shift 5                                 
0(4E8+6T9*7id5                           + id * id * id * id + id + id + id ) $   Reduce 6                                
0(4E8+6T9*7F10                           + id * id * id * id + id + id + id ) $   Reduce 3                                
0(4E8+6T9                                + id * id * id * id + id + id + id ) $   Reduce 1                                
0(4E8                                    + id * id * id * id + id + id + id ) $   Shift 6                                 
0(4E8+6                                  id * id * id * id + id + id + id ) $     Shift 5                                 
0(4E8+6id5                               * id * id * id + id + id + id ) $        Reduce 6                                
0(4E8+6F3                                * id * id * id + id + id + id ) $        Reduce 4                                
0(4E8+6T9                                * id * id * id + id + id + id ) $        Shift 7                                 
0(4E8+6T9*7                              id * id * id + id + id + id ) $          Shift 5                                 
0(4E8+6T9*7id5                           * id * id + id + id + id ) $             Reduce 6                                
0(4E8+6T9*7F10                           * id * id + id + id + id ) $             Reduce 3                                
0(4E8+6T9                                * id * id + id + id + id ) $             Shift 7                                 
0(4E8+6T9*7                              id * id + id + id + id ) $               Shift 5                                 
0(4E8+6T9*7id5                           * id + id + id + id ) $                  Reduce 6                                
0(4E8+6T9*7F10                           * id + id + id + id ) $                  Reduce 3                                
0(4E8+6T9                                * id + id + id + id ) $                  Shift 7                                 
0(4E8+6T9*7                              id + id + id + id ) $                    Shift 5                                 
0(4E8+6T9*7id5                           + id + id + id ) $                       Reduce 6                                
0(4E8+6T9*7F10                           + id + id + id ) $                       Reduce 3                                
0(4E8+6T9                                + id + id + id ) $                       Reduce 1                                
0(4E8                                    + id + id + id ) $                       Shift 6                                 
0(4E8+6                                  id + id + id ) $                         Shift 5                                 
0(4E8+6id5                               + id + id ) $                            Reduce 6                                
0(4E8+6F3                                + id + id ) $                            Reduce 4                                
0(4E8+6T9                                + id + id ) $                            Reduce 1                                
0(4E8                                    + id + id ) $                            Shift 6                                 
0(4E8+6                                  id + id ) $                              Shift 5                                 
0(4E8+6id5                               + id ) $                                 Reduce 6                                
0(4E8+6F3                                + id ) $                                 Reduce 4                                
0(4E8+6T9                                + id ) $                                 Reduce 1                                
0(4E8                                    + id ) $                                 Shift 6                                 
0(4E8+6                                  id ) $                                   Shift 5                                 
0(4E8+6id5                               ) $                                      Reduce 6                                
0(4E8+6F3                                ) $                                      Reduce 4                                
0(4E8+6T9                                ) $                                      Reduce 1                                
0(4E8                                    ) $                                      Shift 11                                
0(4E8)11                                 $                                        Reduce 5                                
0F3                                      $                                        Reduce 4                                
0T2                                      $                                        Reduce 2                                
0E1                                      $                                        ACCEPT                                  
